Author,N_Papers,Total_Citations,Mean_Citations,N_Genera,First_Year,Last_Year,Years_Active
Eggplant relatives as sources of variation for developing new rootstocks: Effects of grafting on eggplant yield and fruit apparent quality and composition,4,452,113.0,1,2011,2011,0
Genome-wide analysis of the Hsp 20 gene family in soybean: comprehensive sequence,4,452,113.0,1,2013,2013,0
Potato Cyst Nematodes: A New Threat to Potato Production in East Africa,12,444,37.0,1,2020,2020,0
Engineered oryzacystatin‐I expressed in transgenic hairy roots confers resistance to Globodera pallida,2,418,209.0,1,1995,1995,0
Molecular Phylogeny of Longidorus,8,416,52.0,1,2013,2013,0
In vitro antagonistic activity,3,405,135.0,1,2014,2014,0
Reniform in U.S. Cotton: When,5,405,81.0,1,2007,2007,0
Phylogenetic Analyses of Meloidogyne Small Subunit rDNA.,5,400,80.0,1,2002,2002,0
The Novel Cyst Nematode Effector Protein 19C07 Interacts with the Arabidopsis Auxin Influx Transporter LAX3 to Control Feeding Site Development,3,390,130.0,1,2010,2010,0
Estimating disease losses to the Australian barley industry,2,380,190.0,1,2010,2010,0
Prevalence,8,376,47.0,1,2010,2010,0
Analysis of the transcriptome of the root lesion nematode Pratylenchus coffeae generated by 454 sequencing technology,5,360,72.0,1,2011,2011,0
Auxin induction is a trigger for root gall formation caused by root-knot nematodes in white clover and is associated with the activation of the flavonoid pathway,3,357,119.0,1,1999,1999,0
Observations on the pathogenicity of Pasteuria penetrans,5,350,70.0,1,1988,1988,0
In-situ Hybridization to Messenger RNA in Heterodera glycines.,2,350,175.0,1,1998,1998,0
Soybean Yield Loss Estimates Due to Diseases in the United States and Ontario,2,344,172.0,1,2017,2021,4
Occurrence of novel verrucomicrobial species,3,339,113.0,1,2000,2000,0
A revised polytomous key for the identification of species of the genus Xiphinema Cobb,20,331,16.55,1,1990,1996,6
Mycorrhiza-induced resistance against the root–knot nematode Meloidogyne incognita involves priming of defense gene responses in tomato,3,330,110.0,1,2013,2013,0
Dual roles for the variable domain in protein trafficking and host‐specific recognition of Heterodera glycines CLE effector proteins,3,324,108.0,1,2010,2010,0
Nematode suppression with brassicaceous amendments: application based upon glucosinolate profiles,3,321,107.0,1,2004,2004,0
Utilization of Cladophora glomerata extract nanoparticles as eco-nematicide and enhancing the defense responses of tomato plants infected by Meloidogyne javanica,10,320,32.0,1,2020,2020,0
Integrative diagnosis and molecular phylogeny of dagger and needle nematodes of olives and grapevines in the island of Crete,10,320,32.0,2,2014,2014,0
Non-pathogenic Fusarium oxysporum endophytes provide field control of nematodes,5,315,63.0,2,2014,2014,0
Identification of RFLP markers closely linked to the H1 gene conferring resistance to Globodera rostochiensis in potato,3,312,104.0,1,1993,1993,0
Restriction Fragment Length Polymorphism Separates Species of the Xiphinema americanum Group.,3,312,104.0,1,1993,1993,0
Gene silencing in root lesion nematodes (Pratylenchus spp.) significantly reduces reproduction in a plant host,5,310,62.0,1,2012,2012,0
A basic serine protease from Paecilomyces lilacinus with biological activity against Meloidogyne hapla eggs,2,300,150.0,1,1995,1995,0
Commercial Formulates of Trichoderma Induce Systemic Plant Resistance to Meloidogyne incognita in Tomato and the Effect Is Additive to That of the Mi-1.2 Resistance Gene,8,280,35.0,1,2020,2020,0
Integrative taxonomy of root-knot nematodes reveals multiple independent origins of mitotic parthenogenesis,9,279,31.0,1,2017,2017,0
Description of Pratylenchus hispaniensis n. sp. from Spain and considerations on the phylogenetic relationship among selected genera in the family Pratylenchidae,13,273,21.0,1,2010,2010,0
Attempt to Silence Genes of the RNAi Pathways of the Root-Knot Nematode,8,272,34.0,1,2020,2020,0
The environmental physiology of Antarctic terrestrial nematodes: a review,3,270,90.0,1,2003,2003,0
Plant-parasitic nematodes in field crops in South Africa. 6. Soybean,10,270,27.0,6,2001,2001,0
Transcriptional reprogramming by root knot and migratory nematode infection in rice,2,262,131.0,1,2012,2012,0
